Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.16,-.28,-.04,-.36,-.12,-.01,-.81,-.46,-.27,-.15,-.09,-.03,.05,.65
1881,-.08,-.17,.01,-.33,.11,-.06,-.92,-.42,-.19,.10,.12,-.05,-.07,.57
1882,-.10,-.20,.00,-.30,-.04,.02,-1.41,-.25,-.14,-.04,-.04,.02,.04,.60
1883,-.16,-.27,-.06,-.33,-.16,-.01,-.18,-.53,-.24,-.17,-.15,-.03,.07,.48
1884,-.28,-.42,-.14,-.60,-.14,-.14,-1.33,-.63,-.45,-.13,-.16,-.19,-.02,.63
1885,-.33,-.43,-.24,-.65,-.12,-.27,-1.53,-.68,-.46,-.06,-.19,-.33,-.15,.80
1886,-.31,-.43,-.20,-.57,-.19,-.21,-1.61,-.49,-.40,-.20,-.17,-.20,-.20,.57
1887,-.36,-.43,-.28,-.52,-.29,-.28,-1.77,-.50,-.29,-.28,-.29,-.27,-.26,.30
1888,-.17,-.23,-.12,-.42,.10,-.28,-1.32,-.42,-.24,.08,.13,-.31,-.22,.13
1889,-.10,-.17,-.03,-.30,.09,-.16,-.70,-.21,-.28,.03,.15,-.15,-.15,.42
1890,-.35,-.38,-.32,-.46,-.36,-.22,-1.16,-.55,-.27,-.25,-.46,-.17,-.27,.13
1891,-.22,-.26,-.19,-.43,-.07,-.21,-1.13,-.33,-.37,.01,-.15,-.18,-.23,-.18
1892,-.27,-.39,-.15,-.43,-.29,-.08,-1.13,-.64,-.18,-.33,-.25,.03,-.21,.07
1893,-.31,-.47,-.15,-.51,-.35,-.04,-.67,-.54,-.47,-.42,-.29,.07,-.20,-.06
1894,-.30,-.38,-.21,-.32,-.32,-.23,-.94,-.33,-.19,-.48,-.17,-.14,-.35,-.40
1895,-.22,-.30,-.14,-.41,-.06,-.25,-.69,-.52,-.27,-.14,.01,-.19,-.31,-.61
1896,-.11,-.19,-.02,-.35,.11,-.15,-.88,-.37,-.23,.06,.16,-.14,-.13,.23
1897,-.10,-.16,-.04,-.36,.18,-.23,-.57,-.47,-.24,.14,.22,-.18,-.27,.38
1898,-.27,-.28,-.25,-.34,-.21,-.26,-1.16,-.21,-.23,-.18,-.24,-.27,-.21,.35
1899,-.17,-.21,-.13,-.25,-.11,-.18,-1.07,-.10,-.15,-.16,-.06,-.15,-.21,.56
1900,-.08,-.09,-.06,-.20,.18,-.29,-.57,-.14,-.16,.09,.27,-.28,-.29,.25
1901,-.15,-.13,-.17,-.18,-.03,-.30,-.46,-.11,-.15,-.06,.01,-.27,-.33,.24
1902,-.28,-.33,-.21,-.54,-.02,-.34,-1.44,-.51,-.33,-.02,-.03,-.27,-.43,-.07
1903,-.37,-.38,-.36,-.48,-.27,-.38,-.32,-.43,-.56,-.23,-.32,-.35,-.40,-.49
1904,-.47,-.48,-.45,-.52,-.46,-.43,-.22,-.60,-.55,-.43,-.48,-.37,-.49,-1.31
1905,-.26,-.29,-.22,-.42,-.08,-.35,-.11,-.23,-.62,-.12,-.04,-.32,-.37,-.33
1906,-.22,-.24,-.20,-.26,-.19,-.23,-.32,-.07,-.39,-.21,-.17,-.20,-.22,-.70
1907,-.39,-.48,-.29,-.60,-.30,-.29,-.62,-.73,-.52,-.30,-.30,-.21,-.36,-1.19
1908,-.43,-.46,-.40,-.48,-.43,-.36,-.26,-.54,-.52,-.42,-.45,-.29,-.48,.68
1909,-.48,-.49,-.47,-.54,-.47,-.44,-.78,-.62,-.44,-.43,-.51,-.37,-.52,-.56
1910,-.43,-.44,-.42,-.42,-.48,-.38,-.60,-.24,-.49,-.49,-.48,-.33,-.45,.17
1911,-.44,-.42,-.45,-.42,-.41,-.48,-.30,-.41,-.47,-.42,-.41,-.44,-.52,.06
1912,-.36,-.46,-.24,-.59,-.17,-.36,-.52,-.78,-.50,-.26,-.07,-.36,-.29,-1.62
1913,-.34,-.42,-.26,-.44,-.27,-.35,-.51,-.33,-.50,-.39,-.14,-.28,-.40,-1.03
1914,-.15,-.19,-.10,-.25,-.05,-.18,-.38,-.16,-.28,-.11,.00,-.15,-.18,-.36
1915,-.14,-.14,-.13,-.23,-.01,-.22,-.61,-.16,-.19,-.01,.00,-.14,-.23,-1.97
1916,-.36,-.42,-.30,-.37,-.44,-.23,-.50,-.54,-.24,-.50,-.39,-.22,-.17,-1.04
1917,-.46,-.58,-.35,-.50,-.63,-.18,-.84,-.50,-.43,-.70,-.57,-.22,-.09,.07
1918,-.30,-.40,-.20,-.41,-.34,-.13,-1.05,-.27,-.35,-.39,-.28,-.05,-.23,-.27
1919,-.27,-.35,-.19,-.44,-.19,-.22,-.74,-.56,-.30,-.23,-.14,-.14,-.32,.21
1920,-.27,-.31,-.23,-.26,-.25,-.32,-.05,-.20,-.35,-.38,-.11,-.19,-.48,-1.13
1921,-.19,-.12,-.25,.01,-.24,-.30,-.05,.17,-.09,-.29,-.19,-.22,-.38,-.83
1922,-.29,-.28,-.29,-.25,-.32,-.27,-.36,-.41,-.13,-.33,-.31,-.24,-.28,-.27
1923,-.27,-.22,-.31,-.16,-.30,-.33,.13,-.15,-.25,-.32,-.27,-.26,-.41,-.54
1924,-.27,-.19,-.35,-.14,-.26,-.43,.42,-.25,-.22,-.27,-.24,-.39,-.45,-.52
1925,-.22,-.14,-.30,-.05,-.24,-.37,-.12,.18,-.18,-.28,-.20,-.24,-.55,-.85
1926,-.11,.01,-.22,.02,.01,-.40,.54,.16,-.21,.00,.02,-.34,-.45,-.63
1927,-.22,-.14,-.29,-.13,-.16,-.38,.00,-.22,-.12,-.15,-.18,-.30,-.45,-1.37
1928,-.20,-.10,-.29,-.07,-.16,-.39,.69,-.17,-.23,-.16,-.16,-.28,-.48,-2.11
1929,-.36,-.34,-.38,-.38,-.28,-.45,.13,-.61,-.38,-.28,-.29,-.42,-.44,-1.07
1930,-.16,-.02,-.29,.04,-.12,-.42,.52,.04,-.11,-.10,-.14,-.33,-.47,-2.59
1931,-.10,.04,-.22,.01,.07,-.42,.55,-.04,-.14,.10,.04,-.41,-.40,-.40
1932,-.16,-.06,-.26,.03,-.17,-.34,.47,.19,-.21,-.19,-.15,-.20,-.53,-.98
1933,-.29,-.26,-.32,-.24,-.28,-.34,-.17,-.47,-.12,-.28,-.29,-.21,-.48,-1.14
1934,-.12,.00,-.25,.17,-.25,-.26,.87,.31,-.13,-.25,-.24,-.15,-.38,-.56
1935,-.20,-.09,-.30,-.05,-.19,-.37,.34,-.05,-.16,-.16,-.21,-.30,-.41,-1.71
1936,-.15,-.03,-.26,-.03,-.13,-.30,.39,.10,-.25,-.05,-.22,-.26,-.33,-.03
1937,-.03,.12,-.18,.20,-.05,-.22,1.23,.03,-.02,.01,-.12,-.19,-.26,.37
1938,.00,.16,-.19,.39,-.23,-.10,1.50,.38,.03,-.17,-.29,-.06,-.11,-.86
1939,-.02,.09,-.13,.22,-.12,-.12,.56,.28,.08,-.10,-.14,-.04,-.19,-1.59
1940,.12,.18,.09,.11,.28,-.07,.99,-.03,-.09,.28,.28,.03,-.20,-.05
1941,.18,.23,.16,.01,.49,-.05,.00,-.10,.08,.55,.43,.04,-.15,-.46
1942,.06,.13,.00,.13,.07,-.01,.72,-.07,.06,.12,.02,.05,-.05,-.89
1943,.09,.18,-.02,.37,-.09,.04,1.41,.28,.11,-.10,-.07,.07,.00,1.15
1944,.20,.27,.14,.38,.19,.05,1.17,.46,.09,.11,.26,.19,-.10,-.93
1945,.09,.10,.09,.11,.17,-.03,.63,-.03,.04,.10,.23,.03,.00,-1.76
1946,-.07,.03,-.17,.06,-.05,-.24,-.03,-.05,.17,-.02,-.08,-.22,-.24,-.15
1947,-.03,.08,-.14,.15,-.06,-.16,1.06,-.14,.05,-.03,-.10,-.19,-.08,-.19
1948,-.11,-.02,-.20,.13,-.19,-.24,.11,.31,.01,-.23,-.15,-.19,-.19,-1.36
1949,-.11,-.03,-.20,.11,-.19,-.23,.20,.17,.05,-.23,-.15,-.18,-.15,-1.96
1950,-.17,-.15,-.21,-.05,-.29,-.14,.19,-.31,.04,-.30,-.28,-.06,-.16,-.86
1951,-.07,.05,-.18,.08,-.06,-.23,.08,.01,.12,.00,-.12,-.22,-.16,-.69
1952,.01,.06,-.03,.11,.02,-.09,.27,-.09,.19,-.01,.05,-.10,-.02,-.49
1953,.08,.24,-.07,.35,.07,-.18,1.02,.35,.14,.08,.07,-.08,-.24,-1.09
1954,-.13,-.02,-.25,.07,-.21,-.22,.80,-.21,.00,-.14,-.28,-.18,-.20,-.80
1955,-.14,-.09,-.20,.04,-.34,-.06,-.24,-.11,.23,-.30,-.38,-.16,-.08,1.23
1956,-.19,-.23,-.16,-.20,-.33,.00,.01,-.47,-.09,-.29,-.37,-.14,.02,.77
1957,.05,.04,.05,.03,.08,.02,.09,.22,-.11,.05,.10,-.09,-.02,.49
1958,.06,.15,-.03,.08,.20,-.15,-.17,.14,.12,.26,.15,-.09,-.08,-.53
1959,.03,.12,-.06,.16,.07,-.16,.48,.18,.05,.07,.08,-.03,-.26,-.36
1960,-.03,.08,-.13,.09,.02,-.20,.33,-.07,.11,.06,-.02,-.10,-.07,-.76
1961,.06,.08,.03,.19,-.03,.05,-.15,.38,.18,-.07,.00,.14,-.17,.21
1962,.03,.13,-.06,.24,-.05,-.08,.44,.31,.14,-.05,-.05,.09,-.08,-.66
1963,.05,.14,-.03,.14,.12,-.12,-.16,.31,.13,.14,.10,-.10,-.17,-.04
1964,-.20,-.19,-.20,-.23,-.14,-.24,-.67,-.20,-.12,-.14,-.14,-.30,-.07,-.38
1965,-.11,-.14,-.07,-.18,-.03,-.13,-.28,-.24,-.12,-.08,.02,-.23,-.03,-.01
1966,-.06,-.02,-.09,-.14,.08,-.15,-.76,-.19,.09,.16,-.01,-.23,-.14,.11
1967,-.02,.03,-.08,.12,-.14,-.01,.36,.26,-.05,-.11,-.17,-.09,-.02,.30
1968,-.08,-.07,-.09,-.11,-.07,-.08,-.33,-.02,-.09,-.02,-.11,-.14,.00,-.06
1969,.05,-.03,.15,-.29,.34,.02,-.04,-.61,-.17,.35,.32,.00,.13,-.14
1970,.03,-.04,.09,-.11,.06,.11,-.21,-.13,-.06,.07,.06,.11,.03,.31
1971,-.08,-.15,-.02,-.06,-.26,.13,-.08,.01,-.10,-.29,-.22,.03,.16,.44
1972,.01,-.17,.20,-.34,.16,.14,-.36,-.47,-.25,.07,.26,.16,-.02,.44
1973,.16,.10,.23,.11,.19,.18,.07,.27,.02,.08,.29,.22,.07,.34
1974,-.07,-.18,.03,-.14,-.20,.18,-.19,-.07,-.18,-.23,-.17,.22,-.08,.65
1975,-.01,-.05,.02,.12,-.24,.16,.10,.39,-.05,-.31,-.17,.13,.14,.28
1976,-.10,-.21,.01,-.26,-.11,.09,-.07,-.32,-.28,-.13,-.10,.10,.22,-.24
1977,.18,.12,.24,.14,.16,.25,.16,.24,.06,.10,.22,.22,.31,.27
1978,.07,.02,.11,-.03,.08,.16,-.15,.04,-.04,.10,.05,.21,.13,.04
1979,.16,.08,.25,-.03,.26,.23,-.60,.07,.08,.25,.27,.30,.33,-.21
1980,.26,.17,.35,.06,.31,.39,.26,.02,.02,.33,.28,.35,.37,.58
1981,.32,.37,.27,.48,.18,.36,1.10,.79,.08,.22,.15,.28,.38,.61
1982,.14,.05,.23,-.08,.27,.18,-.40,.10,-.09,.25,.29,.18,.32,-.11
1983,.31,.25,.38,.22,.44,.24,.19,.69,-.07,.29,.58,.21,.41,.04
1984,.16,.04,.28,.01,.18,.26,.36,.08,-.14,.07,.30,.16,.32,.52
1985,.12,.00,.24,-.03,.09,.30,.39,-.26,-.02,.04,.14,.30,.44,.04
1986,.18,.13,.23,.11,.23,.19,.01,.28,.03,.17,.28,.25,.25,-.12
1987,.32,.25,.41,.04,.59,.25,-.36,.13,.11,.55,.62,.32,.25,.01
1988,.39,.37,.40,.40,.37,.39,.59,.57,.23,.32,.43,.38,.20,.87
1989,.27,.27,.27,.41,.13,.33,.34,.69,.25,.07,.19,.36,.30,.34
1990,.45,.53,.37,.63,.37,.37,.58,.89,.48,.38,.37,.37,.37,.37
1991,.41,.41,.40,.47,.37,.39,.75,.66,.26,.32,.41,.31,.29,.95
1992,.22,.14,.31,.10,.28,.26,-.16,.44,-.04,.20,.37,.20,.33,.38
1993,.23,.19,.28,.13,.32,.22,.55,.29,-.11,.29,.36,.27,.39,-.29
1994,.32,.37,.26,.43,.31,.20,.34,.50,.41,.29,.34,.26,.23,-.05
1995,.45,.58,.32,.70,.43,.22,1.31,.99,.31,.41,.45,.29,.15,.14
1996,.33,.27,.39,.23,.32,.43,.77,.17,.10,.32,.33,.33,.28,1.19
1997,.47,.52,.42,.53,.52,.33,.76,.91,.22,.50,.53,.42,.36,-.01
1998,.61,.71,.52,.78,.70,.33,.86,.94,.65,.60,.79,.39,.31,.15
1999,.39,.48,.28,.70,.21,.31,.40,.80,.73,.16,.26,.46,.19,.04
2000,.40,.50,.29,.70,.25,.29,.97,.80,.55,.21,.28,.42,.10,.26
2001,.54,.64,.44,.80,.42,.43,1.07,.86,.68,.40,.44,.58,.24,.32
2002,.63,.71,.54,.83,.59,.48,1.26,1.00,.58,.55,.63,.50,.32,.78
2003,.62,.75,.50,.84,.64,.38,1.50,.98,.53,.61,.66,.45,.24,.43
2004,.54,.66,.42,.72,.55,.33,.47,.96,.66,.56,.53,.48,.23,.03
2005,.68,.86,.50,1.01,.62,.42,1.99,1.23,.57,.62,.62,.49,.18,.70
2006,.64,.82,.46,.98,.55,.40,1.73,1.06,.69,.57,.54,.51,.19,.47
2007,.66,.85,.47,1.13,.46,.47,2.12,1.32,.69,.45,.47,.50,.07,1.26
2008,.54,.68,.41,.92,.37,.40,1.54,1.08,.61,.33,.41,.52,.09,.63
2009,.66,.73,.59,.78,.68,.52,1.42,.60,.68,.65,.70,.60,.15,1.01
2010,.72,.90,.55,1.02,.68,.48,2.22,.87,.74,.72,.65,.63,.20,.51
2011,.61,.74,.47,.99,.37,.55,2.35,.94,.58,.39,.35,.64,.18,1.07
2012,.65,.81,.48,1.04,.52,.41,2.22,.93,.73,.48,.57,.56,.19,.36
